zipcode,GEOID,INTPTLAT,INTPTLONG
96749,96749,19.621282,-154.989735
96704,96704,19.337367999999998,-155.837228
96720,96720,19.65981,-155.232473
96727,96727,20.109942999999998,-155.636271
96726,96726,19.428179999999998,-155.820986
96740,96740,19.75682,-155.91996799999998
96743,96743,19.862157,-155.698847
59729,59729,45.29372,-111.649073
58011,58011,46.91875,-97.539887
73112,73112,35.51817,-97.575423
96738,96738,19.873144,-155.79636000000002
99516,99516,61.079485999999996,-149.710038
59102,59102,45.775649,-108.580206
83423,83423,44.300087,-112.28054499999999
99901,99901,55.54040500000001,-131.105347
59047,59047,45.547286,-110.57110300000001
82644,82644,42.840610999999996,-106.36661000000001
59068,59068,45.119299,-109.446013
57730,57730,43.724138,-103.64972900000001
96771,96771,19.523869,-155.123211
96772,96772,19.155884,-155.62496299999998
96776,96776,19.993371,-155.399899
96777,96777,19.251949,-155.456769
96778,96778,19.43894,-155.028176
78577,78577,26.149684,-98.189714
78572,78572,26.228734999999997,-98.376166
96710,96710,19.842382999999998,-155.24766200000002
89801,89801,41.247991,-115.76140500000001
96750,96750,19.534039,-155.713752
96737,96737,19.064517000000002,-155.779672
78578,78578,26.051625,-97.31276700000001
99780,99780,63.181525,-143.10218899999998
99664,99664,60.076367000000005,-149.492517
58701,58701,48.144826,-101.32601600000001
59404,59404,47.631766,-111.32887
59201,59201,48.172933,-105.699503
99504,99504,61.2046,-149.746095
99686,99686,61.15008,-146.810141
99502,99502,61.16364300000001,-149.996609
59467,59467,48.067356,-112.601298
59754,59754,45.456857,-112.32638600000001
58545,58545,47.357925,-101.591236
82450,82450,44.505179,-109.43555800000001
99723,99723,71.25408399999999,-156.798949
58503,58503,46.90412,-100.750302
57580,57580,43.289349,-100.09010699999999
82414,82414,44.492387,-109.593597
58402,58402,46.880348,-98.687205
57501,57501,44.527597,-100.30904100000001
96764,96764,19.912070999999997,-155.276904
96760,96760,19.554764000000002,-155.05611299999998
96785,96785,19.453729,-155.407545
99835,99835,57.000413,-135.078528
96781,96781,19.786151999999998,-155.217704
99833,99833,56.925681000000004,-133.117006
96783,96783,19.830827,-155.144159
